governorate,quism,shiakha
Dakahlia,Mansoura,Shuha
Dakahlia,Mansoura,El-Nozha
Dakahlia,Mansoura,Gemeizet Belgay
Dakahlia,Mansoura,Kafr Tanah
Dakahlia,Mansoura,Kafr Tanah
Dakahlia,Mansoura,Kom Bani Marasi
Dakahlia,Mansoura,Mit Luzah
Dakahlia,Mansoura,Mit Mazzah
Dakahlia,Mansoura,Belgai
Dakahlia,Mansoura,Kafr Bedway Al Gadid
Dakahlia,Mansoura,Izbat Al Bundirah
Dakahlia,Mansoura,Nuqaytah
Dakahlia,Mansoura,Salaka
Dakahlia,Mansoura,Bahqirah
Dakahlia,Mansoura,Al Hawawshah
Dakahlia,Mansoura,Sallant
Dakahlia,Mansoura,Tilbanah
Dakahlia,Mansoura,Jadayyidat Al Halah
Dakahlia,Mansoura,Mit Khayrun
Dakahlia,Mansoura,Barq Al Izz
Dakahlia,Mansoura,Shubra Bidain
Dakahlia,Mansoura,Biddin
Dakahlia,Mansoura,Salamun
Dakahlia,Mansoura,Mit Azzun
Dakahlia,Mansoura,AR Raydaneyah
Dakahlia,Mansoura,Kafr Meet Fatk Primary School
Dakahlia,Mansoura,Ad Danabiq
Dakahlia,Mansoura,Mit El-Sarem
Dakahlia,Mansoura,Kom Ad Dirbi
Dakahlia,Mansoura,Shawah
Dakahlia,Mansoura,Al Baqliyyah
Dakahlia,Mansoura,Mit Al Akrad
Dakahlia,Mansoura,Kafr Al Amshuti
Dakahlia,Mansoura,Kafr Abu Shawarib
Dakahlia,Mansoura,Kafr Tilbanah
Dakahlia,Mansoura,As.Zammar
Dakahlia,Mansoura,Al Malhah
Dakahlia,Mansoura,An Nasimeyah
Dakahlia,Mansoura,Mit Mahmoud
Dakahlia,Mansoura,Mit Jarrah
Dakahlia,Mansoura,Mit Ali
Dakahlia,Mansoura,Mit Awwam
Dakahlia,Mansoura,Dabo Awam
Dakahlia,Mansoura,Taranis Al Bahr
Dakahlia,Mansoura,Menyat Bedway
Dakahlia,Mansoura,Bedwai
Dakahlia,Mansoura,Kafr Bedway Al Qadim
Dakahlia,Mansoura,Kafr Al Baramun
Dakahlia,Mansoura,Al Baramun
Dakahlia,Mansoura,Al Baddalah
Dakahlia,Mansoura,Mit Khamis WA Kafr Al Mougi
Dakahlia,Mansoura,Kafr Ash Shinhab
Dakahlia,Mansoura,Awish Al Hajar
Dakahlia,Mansoura,Mit Badr Khamees
Dakahlia,Mansoura,Minyat Sandub
Dakahlia,Mansoura,Al Khiyariyyah
