governorate;quism;shiakha
Damietta;New Damietta Harbour Department;Minaa Dumyat Al Gadidah
Damietta;Damietta Desert;
Damietta;Damietta First;
Damietta;Dameitta Second;
Damietta;Ras El-Bar;
Damietta;Damietta El-Gadeeda City;Damietta El-Gadeeda City
Damietta;AZ Zarqa;El-Kashef El-Gadeeda
Damietta;AZ Zarqa;Saif El-Deen
Damietta;AZ Zarqa;Kafr Taqi
Damietta;AZ Zarqa;Madinet as Sarou
Damietta;AZ Zarqa;Daqahlah
Damietta;AZ Zarqa;Kafr Al Mayasrah
Damietta;AZ Zarqa;Madinet AZ Zarqa
Damietta;AZ Zarqa;Shirimsah
Damietta;AZ Zarqa;AZ Zaatrah
Damietta;AZ Zarqa;Mit El-Khouly Abd Allah
Damietta;Qism Damietta;Shata
Damietta;Qism Damietta;Al Ananeyah
Damietta;Qism Damietta;Izab Al Basartah
Damietta;Qism Damietta;Shatt Jiraybah
Damietta;Qism Damietta;Shatt Moheb WA as Sayelah
Damietta;Qism Damietta;Al Khalifeyah
Damietta;Qism Damietta;Izbat Awlad Hamam
Damietta;Qism Damietta;Shatt Ash Sheikh Dorgham
Damietta;Qism Damietta;Izbat Al Burj
Damietta;Qism Damietta;Shatt Ash Shoara
Damietta;Qism Damietta;Al Bustan WA Kafr Tabikhah
Damietta;Qism Damietta;Al Adliyyah
Damietta;Qism Damietta;Shatt Izbat Al Lahm
Damietta;Qism Damietta;Shatt Al Kheyatah
Damietta;Qism Damietta;Al Sananiyah
Damietta;Faraskour;Monshaat Karam WA Razoq
Damietta;Faraskour;AR Rahamnah
Damietta;Faraskour;Abu Jiridah
Damietta;Faraskour;Al Atawi
Damietta;Faraskour;Ad Dahrah
Damietta;Faraskour;Al Ghawabin
Damietta;Faraskour;El-Rawda City
Damietta;Faraskour;An Nagarin
Damietta;Faraskour;At Tarhah
Damietta;Faraskour;Abu Garidah
Damietta;Faraskour;Mit Ash Sheyoukh
Damietta;Faraskour;Kafr El-Arab
Damietta;Faraskour;Kafr El-Shennawy
Damietta;Faraskour;Al Birashiyyah
Damietta;Faraskour;Sharabas
Damietta;Kafr Al Battikh;Al Rekabiah
Damietta;Kafr Al Battikh;Ezbet Om Reda El-Gadeeda
Damietta;Kafr Saad;Kafr Al Wustaani
Damietta;Kafr Saad;Abo 'Ayyad
Damietta;Kafr Saad;Kafr Al Morabein Ash Sharqeyah
Damietta;Kafr Saad;Izbat Al Ibrahimiyyah Al Bahariyyah
Damietta;Kafr Saad;As Saidiyyah Al Bahariyyah
Damietta;Kafr Saad;Al Muhammadiyyah
Damietta;Kafr Saad;Izbat Al Ibrahimiyyah Al Qibliyyah
Damietta;Kafr Saad;Kafr Saad El-Balad
Damietta;Kafr Saad;Kafour Shehata
Damietta;Kafr Saad;As Saidiyyah Al Qibliyyah
Damietta;Kafr Saad;Kafr Mit Abou Ghaleb
Damietta;Kafr Saad;Kafr Al Manazlah
Damietta;Kafr Saad;Kafr Suleiman Al Bahari
Damietta;Kafr Saad;Al Lozy
Damietta;Kafr Saad;As Swalim
