governorate,quism,shiakha
Alexandria,Alexandria Harbour,Ad Daerah Al Gomrokeyah
Alexandria,Alexandria Desert,Alexandria Desert
Alexandria,Qesm Al Gomrok,Al Balqatreyah
Alexandria,Qesm Al Gomrok,Ras at Tin
Alexandria,Qesm Al Gomrok,Zawyet Al Qabaneyah
Alexandria,Qesm Al Gomrok,As Sayadin
Alexandria,Qesm Al Gomrok,Zawya Khattab
Alexandria,Qesm Al Gomrok,Al Hagari
Alexandria,Qesm Al Gomrok,As Sayalah Gharb
Alexandria,Qesm Al Gomrok,Safar Basha
Alexandria,Qesm Al Gomrok,Al Meghawri
Alexandria,Qesm Al Gomrok,Al Halougi
Alexandria,Qesm Al Gomrok,Ash Shamarli WA Zaweyat Al Aarag
Alexandria,Qesm Al Gomrok,Qabou Al Mallah
Alexandria,Qesm Al Gomrok,Abou Shousha
Alexandria,Qesm Al Gomrok,Souq as Samak Al Qadim
Alexandria,Qesm Al Gomrok,Haret Madwarah
Alexandria,Qesm Al Gomrok,At Tarmazeyah
Alexandria,Qesm Al Gomrok,Al Berkah
Alexandria,Qesm Al Gomrok,Al Mazar
Alexandria,Dekhela,Al Max
Alexandria,Dekhela,Ad Dakhilah
Alexandria,Dekhela,El-Agamy
Alexandria,Al Attarin,Al Attarin Gharb
Alexandria,Al Attarin,Al Attarin Sharq
Alexandria,Al Attarin,As Souri
Alexandria,Al Attarin,Al Marghani
Alexandria,Al Attarin,Al Mesallah Gharb WA Sharif Basha
Alexandria,Al Attarin,Al Mesallah Sharq
Alexandria,Al Attarin,Kom Ad Dakah Gharb
Alexandria,Al Attarin,Kom Ad Dakah Sharq
Alexandria,Al Labban,As Sekkah Al Gadidah WA at Tartoushi
Alexandria,Al Labban,As Saborah
Alexandria,Al Labban,Al Harah Al Waseah WA at Takhshibah
Alexandria,Al Labban,An Nagaa Al Qadim
Alexandria,Al Labban,An Nagaa Al Gadid
Alexandria,Al Labban,Meshmesh Al Basal
Alexandria,Al Labban,Haret Al Farahdah
Alexandria,Mansheya,Al Hamamil
Alexandria,Mansheya,Souq Al Barseim
Alexandria,Mansheya,Al Mansheyah Al Kubra
Alexandria,First Al Raml,Flemig
Alexandria,First Al Raml,San Stifano
Alexandria,First Al Raml,Al Qasaei Bahri
Alexandria,First Al Raml,Bacos
Alexandria,First Al Raml,Zaarbana WA Al Hamam
Alexandria,Al Amaria First,Qetaa an Nahdah
Alexandria,Al Amaria First,ADH Dheraa Al Bahri
Alexandria,Al Amaria First,Zawya Abd El-Qader
Alexandria,Al Amaria First,Al Amrereyah Gharb
Alexandria,Al Amaria First,Margham
Alexandria,Al Amaria First,Al Amereyah Sharq
Alexandria,Al Montaza First,As Soyouf Bahri
Alexandria,Al Montaza First,Sidi Beshr Qebli
Alexandria,Al Montaza First,Sidi Beshr Bahri
Alexandria,Al Montaza First,Al Mohagerin
Alexandria,Al Montaza First,El-Mansheya El-Bahareya
Alexandria,Al Montaza First,Al Qerdahi
Alexandria,Al Montaza First,At Tawfiqeyah
Alexandria,Qism Bab Sharqi,Bab Sharqi WA Wabour Al Meyah
Alexandria,Qism Bab Sharqi,Al Hadrah Qebli
Alexandria,Qism Bab Sharqi,Izbat Al Gamee
Alexandria,Qism Bab Sharqi,Al Ibrahimeyah Qebli WA Al Hadrah Bahri
Alexandria,Qesm Borg Al Arab,ADH Dheraa Al Bahri
Alexandria,Qesm Borg Al Arab,Bahig
Alexandria,Qesm Borg Al Arab,Madinet Borg Al Arab
Alexandria,Qesm Borg Al Arab,Al Arbaneyat
Alexandria,Qism El-Raml,Al Qasaei Qebli
Alexandria,Montaza 2,Abu Qir Al Gharbeyah
Alexandria,Montaza 2,Al Mandarah Bahri
Alexandria,Montaza 2,Al Mandarah Qebli
Alexandria,Montaza 2,Tolombat at Tabeyah
Alexandria,Montaza 2,Al Amrawi
Alexandria,Sidi Gaber,Mustafa Kamel WA Bolkli
Alexandria,Sidi Gaber,Sidi Gaber
Alexandria,Sidi Gaber,Abu an Nawatir
Alexandria,Sidi Gaber,Ezbet Saad
Alexandria,Sidi Gaber,Ezbet El-Nozha
Alexandria,Karmouz,Ghait Al Enab Gharb
Alexandria,Karmouz,Karmouz Gharb
Alexandria,Karmouz,Karmouz Sharq
Alexandria,Karmouz,Noubar
Alexandria,Karmouz,Bab Sedra Al Barani Sharq
Alexandria,Karmouz,Sultan Mosque
Alexandria,Karmouz,Ghait Al Enab Sharq
Alexandria,Moharam Bek,Abis
Alexandria,Qism Mina El-Basal,Al Qabari
Alexandria,Qism Mina El-Basal,Al Mafrouza
Alexandria,Qism Mina El-Basal,Al Qabari
Alexandria,Qism Mina El-Basal,Al Wardiyan Gharb
Alexandria,New Borg El-Arab City,New Borg El-Arab City
