governorate,quism,shiakha,score
محافظة القاهرة,قسم ثان مدينة نصر,الاستاد,1
محافظة القاهرة,قسم ثان مدينة نصر,نادى السكه الحديد,1
محافظة القاهرة,قسم ثان مدينة نصر,السريات الشرقيه,1
محافظة القاهرة,قسم ثان مدينة نصر,الحى السابع,1
محافظة الجيزة,قسم الاهرام,كفر نصار,1
محافظة القاهرة,قسم البساتين,المعادى الجديده,1
محافظة القاهرة,قسم البساتين,البساتين,1
محافظة الجيزة,قسم الدقى,سليمان جوهر,1
محافظة الجيزة,قسم الدقى,اولاد علام,1
محافظة الجيزة,قسم الدقى,داير الناحيه,1
محافظة الجيزة,قسم الدقى,بين السرايات,1
محافظة الجيزة,قسم الدقى,الاورمان,1
محافظة الجيزة,قسم الدقى,مدينه الاوقاف,1
محافظة القاهرة,قسم الزمالك,الجبلايه,1
محافظة القاهرة,قسم الزمالك,محمد مظهر,1
محافظة القاهرة,قسم الزمالك,ابو الفدا,1
محافظة القاهرة,قسم الزمالك,عمر الخيام,1
محافظة القاهرة,قسم الزيتون,الزيتون البحريه,1
محافظة القاهرة,قسم الزيتون,الزيتون القبليه,1
محافظة القاهرة,قسم الزيتون,الزيتون الغربيه,1
محافظة القاهرة,قسم الزيتون,الزيتون الشرقيه,1
محافظة القاهرة,قسم الساحل,برهام,1
محافظة القاهرة,قسم الساحل,الخازنداره,1
محافظة القاهرة,قسم الساحل,اسعد,1
محافظة القاهرة,قسم الساحل,الساحل,1
محافظة القاهرة,قسم الساحل,البراد,1
محافظة القاهرة,قسم الساحل,شريف,1
محافظة القاهرة,قسم الساحل,منيه السيرج,1
محافظة القاهرة,قسم السيدة زينب,طولون,1
محافظة القاهرة,قسم الشروق,الشروق 2,1
محافظة الجيزة,قسم الشيخ زايد,مدينه الشيخ زايد,1
محافظة القاهرة,قسم الظاهر,الظاهر,1
محافظة القاهرة,قسم الظاهر,غمره,1
محافظة القاهرة,قسم الظاهر,ابو خوده,1
محافظة القاهرة,قسم الظاهر,السكاكينى,1
محافظة القاهرة,قسم الظاهر,القبيسى,1
محافظة القاهرة,قسم الظاهر,الجنزورى,1
محافظة الجيزة,قسم العجوزة,الحوتيه,1
محافظة الجيزة,قسم العجوزة,ميت عقبه,1
محافظة الجيزة,قسم العجوزة,العجوزه,1
محافظة الجيزة,قسم العجوزة,ارض اللواء,1
محافظة الجيزة,قسم العجوزة,الاعلام ( مدينه الاوقاف سابقا),1
محافظة الجيزة,قسم العجوزة,المهندسين ( جزيره ميت عقبه),1
محافظة القاهرة,قسم المعادى,السرايات الغربيه,1
محافظة القاهرة,قسم المعادى,معادي الخبيري الشرقيه,1
محافظة القاهرة,قسم المعادى,الخبيري الوسطى,1
محافظة القاهرة,قسم المعادى,السرايات الشرقيه,1
محافظة القاهرة,قسم المعادى,الخبيرى الغربيه,1
محافظة القاهرة,قسم المقطم,السبعين فدان,1
محافظة القاهرة,قسم المقطم,النصر,1
محافظة القاهرة,قسم المقطم,صبحى حسين,1
محافظة القاهرة,قسم المقطم,الصعيد,1
محافظة القاهرة,قسم المقطم,الجيزه,1
محافظة القاهرة,قسم المقطم,العبد,1
محافظة القاهرة,قسم المقطم,اطلس ج,1
محافظة القاهرة,قسم المقطم,الاحياء,1
محافظة القاهرة,قسم المقطم,الشرق للتأمين,1
محافظة القاهرة,قسم المقطم,المقطم,1
محافظة القاهرة,قسم النزهة,النزهه,1
محافظة القاهرة,قسم النزهة,شيراتون المطار,1
محافظة القاهرة,قسم النزهة,مطار القاهره,1
محافظة القاهرة,قسم الوايلى,كوبرى القبه,1
محافظة القاهرة,قسم الوايلى,العباسيه الغربيه,1
محافظة القاهرة,قسم الوايلى,العباسيه البحريه,1
محافظة القاهرة,قسم الوايلى,السرايات,1
